상호명,카테고리,평점,주소,운영시간,메뉴,시설
불로만숯불바베큐 남항점,불로만숯불바베큐,4.0,부산 영도구 남항로31번길 23 (우)49054,['매일 14:00 ~ 01:00'],"{'나홀로세트': '16,000', '한식 숯불 바베큐(뼈)': '19,000', '양식 숯불 바베큐(뼈)': '19,000', '간장 숯불 바베큐(뼈)': '19,000', '소금구이 숯불 바베큐': '19,000', '순살 소금 숯불 바베큐': '19,000', '': ''}",{}
크러그 영도점,디저트카페,3.0,부산 영도구 남항서로 123 1층 (우)49042,['null'],{},{}
오가다 부산영도점,오가다,5.0,부산 영도구 절영로 30 1층 (우)49045,['매일 08:00 ~ 22:00'],{},{}
평사리가는길 영도점,한식,0,부산 영도구 절영로35번길 3 (우)49052,['null'],"{'평사리정식': '14,000', '평사리서희정식': '19,000', '다슬기탕': '6,000', '녹차보쌈(중)': '20,000', '녹차오리훈제(중)': '20,000'}",{}
본도시락 부산영도점,본도시락,0,부산 영도구 남항로9번길 34 (우)49045,['null'],{},{}
통뼈감자탕 남항점,통뼈감자탕,0,부산 영도구 절영로 41-1 (우)49054,['null'],{},{}
요달의찜닭 영도점,닭요리,5.0,부산 영도구 남항로25번길 18 (우)49054,['null'],{},{}
신세계고깃집,한식,0,부산 영도구 절영로43번길 32 (우)49053,['null'],"{'한우등심(100g)': '22,000', '한우부채살(100g)': '23,000', '목살(100g)': '7,000', '한우육회비빔밥': '10,000', '왕갈비탕': '8,000'}",{}
815다방,다방,0,부산 영도구 태종로65번길 14 (우)49037,['null'],{},{}
밤야,술집,4.7,부산 영도구 절영로35번길 21 (우)49052,['null'],"{'스끼야끼': '28,000', '밀푀유나베': '22,000', '차돌박이숙주볶음': '17,000', '로제파스타': '15,000', '새우감바스': '15,000'}",{}
달구지식당,한식,0,부산 영도구 남항로9번길 32 (우)49045,['null'],"{'순두부': '6,000', '청국장': '6,000', '알탕': '8,000', '갈치조림': '8,000', '문어숙회': '20,000'}",{}
장수삼계탕,삼계탕,0,부산 영도구 남항로9번길 42 (우)49045,['null'],"{'삼계탕': '10,000', '옻삼게탕': '13,000', '들깨삼계탕': '13,000', '녹두삼계탕': '13,000', '전복삼게탕': '15,000'}",{}
엄마불닭발,한식,0,부산 영도구 절영로49번길 11 (우)49054,['매일 17:00 ~ 24:00'],"{'뼈 닭발': '16,000', '무뼈 닭발': '17,000', '국물 뼈 닭발': '17,000', '땡초 해물부추전': '13,000', '땡초 해물김치전': '13,000', '얼큰 오뎅탕': '15,000', '': ''}",{}
마후닭 영도점,치킨,5.0,부산 영도구 절영로43번길 27 (우)49054,['null'],{},{}
